id,title,description,likeCount,publishTime,duration_seconds,viewCount,like_to_view_ratio
NZlClr_ivb4,"Hit The Target, Win $300,000","If they miss the shot, the prize goes up by $10000 Get Honey for FREE today ▸ http://joinhoney.com/mrbeast Honey finds coupons ...",2378693.0,2021-06-12 20:00:01+00:00,904,76492851.0,0.031096932182590502
PKtnafFtfEo,"Youtube Rewind 2020, Thank God It&#39;s Over",This is what Youtube Rewind would look like if it was made by creators lol SUBSCRIBE TO THESE SMALL CHANNELS NOW ...,4707358.0,2021-01-01 21:00:03+00:00,391,57131190.0,0.08239558811920424
e5DqdX-7_g4,Surprising TFue With A Fortnite Battle Bus In Real Life,YOU WON'T BELIEVE HOW TFUE REACTED TO THE BATTLE BUS New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...,1695042.0,2018-12-07 22:11:00+00:00,865,89583695.0,0.018921322680427503
E6E22XQPhhg,Anything You Can Fit In The Triangle I’ll Pay For,Sorry for the long time no uploads! I had 4 different videos fall apart :/ New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...,2183523.0,2021-06-01 20:00:02+00:00,968,64846876.0,0.03367198444532625
LeYsRMZFUq0,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",Subscribe right now and you might be picked to be in my next video! (its epic) New Merch - https://shopmrbeast.com/ SUBSCRIBE ...,4286817.0,2020-12-15 21:00:11+00:00,858,91681798.0,0.04675755813602172
nuM0Z4a7kMs,I Spent 24 Hours Straight In Insane Asylum,"THIS VIDEO WAS CRAZY, LIKE FOR MORE MINECRAFT New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...",1923305.0,2019-02-10 21:05:00+00:00,978,91428157.0,0.02103624379084881
IYVjOfoU3uI,I Gave My Credit Card To Random People,Watch until the end to see how much they spend! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2815381.0,2020-02-01 21:00:01+00:00,1008,101244292.0,0.027807799772060236
P4qWhSZ7_WA,Things That SHOULDN&#39;T Be Sold On Amazon,I bought a bunch of stuff that probably shouldn't be sold on amazon. New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...,1367280.0,2018-09-21 22:06:01+00:00,846,86162309.0,0.015868655516183997
GUWGsIVEMSQ,"Surprising Tfue With $10,000 Live - Fortnite",YOU WON'T BELIEVE HOW HE REACTED!!! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG This is a ...,1377667.0,2018-10-04 20:07:01+00:00,923,64588022.0,0.021330069528990993
yeqARWqjkps,"Last To Take Hand Off $1,000,000 Keeps It",Watch to the end of the video to see who becomes a millionaire... SUBSCRIBE OR ILL PUNCH YOU New Merch ...,2603385.0,2019-12-19 21:00:12+00:00,1023,84619778.0,0.0307656798626912
59AYXzCa-Cs,I Built The World&#39;s Largest Lego Tower,I didnt think they would actually build that high lol New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2235151.0,2020-06-06 20:00:01+00:00,836,81391428.0,0.02746174941174395
gL6iSCSHjco,"Last To Leave Roller Coaster Wins $20,000 - Challenge",THEY TOOK OVER 100 LAPS LOL New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,1890612.0,2019-08-17 20:00:00+00:00,917,79468147.0,0.02379081520549359
_mdKvblL_8s,"$70,000 Extreme Hide And Seek - Challenge",watch until the end to see who wins the $70000 DOWNLOAD HERE: https://dragoncity.onelink.me/3213014026/MrBeast Open to ...,1791848.0,2020-03-13 20:00:04+00:00,1121,72718526.0,0.02464087349625321
YyhKdOCwD7s,24 Hours In The Most Haunted Place On Earth,YOU WON'T BELIEVE WHAT WE FOUND! lol New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,1727423.0,2019-05-30 20:07:01+00:00,907,53637455.0,0.03220553622464004
tYHTVjfShOA,"Anything You Can Carry, I&#39;ll Pay For Challenge",I took people into stores and paid for whatever they could carry New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,1458582.0,2019-04-20 20:00:03+00:00,909,71865419.0,0.020296020259758036
i2O6GMpNWGo,"Last To Leave The Tesla, Keeps It Challenge",THIS WAS THE LONGEST CHALLENGE WE'VE DONE SO FAR! Buy merch the car was expensive lol - https://shopmrbeast.com/ ...,1371597.0,2019-03-29 21:05:00+00:00,1109,71745185.0,0.01911761744011114
3LLnjRLrvLU,I Opened A Free Car Dealership,"This video means a lot to me, i'm so happy with how it went! BRAND NEW Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...",2734867.0,2019-08-29 20:00:00+00:00,999,87814365.0,0.03114373143847251
KSKJKLmAqpI,"Lamborghini Race, Winner Keeps Lamborghini",New Merch - https://shopmrbeast.com/ SUBSCRIBE OR ELSE ---------------------------------------------------------------- follow all of these ...,1846059.0,2020-02-08 21:00:02+00:00,923,75289471.0,0.02451948427157896
q0OK-zHnvnA,Can A Glowing 1000 Degree Sword Slice A Car In Half?,WILL THE SWORD CUT RIGHT THRU THE CAR????? New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,981980.0,2018-09-06 21:09:00+00:00,613,60674883.0,0.01618429161206623
tBEBc4KQVsU,I Hope This Magic Trick Works,WE ATTEMPTED POPULAR MAGIC TRICKS AND THIS HAPPENED OPEN and follow all these guys! Chris Ramsey ...,654619.0,2018-09-11 21:13:59+00:00,982,38328312.0,0.017079254625144983
0hVZOJCYBBM,Important Youtube Announcement (please watch),I CAN'T BELIEVE WE REACHED OUR GOAL!!!!! YOU GUYS ARE AMAZING! New Merch - https://shopmrbeast.com/ SUBSCRIBE ...,2368072.0,2019-12-28 21:00:06+00:00,155,32540299.0,0.07277351692435279
fWcSBWadolA,"Paying People $10,000 To Eat Ghost Pepper",YOU WON'T BELIEVE HOW THEY REACTED! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,1026780.0,2019-06-01 20:05:01+00:00,886,35878816.0,0.02861800121832337
w40Z8aT5fpQ,Why Do We Do Things That Are Bad For Us?????,"This is a video where I talk, and now your watching it. ▻ Subscribe? - http://bit.ly/1sBQXmi ▻ Follow? - http://bit.ly/1ljKsl1 Sponsor ...",688.0,2015-05-14 23:52:57+00:00,204,17555.0,0.0391911136428368
r7zJ8srwwjk,I Spent 50 Hours In Solitary Confinement,i borderline went crazy about 30 hours in... New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,3109009.0,2020-05-30 20:10:08+00:00,952,158424466.0,0.019624550920058017
sirrTXiPFmw,I Bought One Snickers Bar From Every Walmart,i can't believe i did this SUBSCRIBE FOR A FREE CAR ---------------------------------------------------------------- ▻ FOLLOW BOTH ...,1037760.0,2018-01-13 23:15:01+00:00,640,40462318.0,0.025647566706385926
3ix_gbcubTo,"Last To Leave Slime Pit Wins $20,000 - Challenge",LAST ONE TO GET OUT OF THE SLIME PIT WINS $20000!! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,1574991.0,2018-11-30 21:11:01+00:00,1088,80841407.0,0.019482478824249062
qPBtTPJHS0Q,I Advertised Pewdiepie At The Super Bowl,I CAN'T BELIEVE WE MADE IT ON THE SUPER BOWL LOL New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,1204795.0,2019-02-04 22:00:01+00:00,793,39453220.0,0.030537304686410895
